"","REF_DATE","GEO","Income source","Statistics","UOM","SCALAR_FACTOR","VALUE"
"1",1998,"Alberta","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Aggregate income","2021 constant dollars","millions",849.311111111111
"2",1998,"Alberta","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Average income (excluding zeros)","2021 constant dollars","units",8626.66666666667
"3",1998,"Alberta","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Median income (excluding zeros)","2021 constant dollars","units",8460
"4",1998,"Alberta","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Number of persons","Number","thousands",476.5
"5",1998,"Alberta","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Number with income","Number","thousands",98.6888888888889
"6",1998,"Alberta","Child benefits","Aggregate income","2021 constant dollars","millions",307.388888888889
"7",1998,"Alberta","Child benefits","Average income (excluding zeros)","2021 constant dollars","units",2972.22222222222
"8",1998,"Alberta","Child benefits","Median income (excluding zeros)","2021 constant dollars","units",2550
"9",1998,"Alberta","Child benefits","Number of persons","Number","thousands",476.5
"10",1998,"Alberta","Child benefits","Number with income","Number","thousands",106.833333333333
"11",1998,"Alberta","Employment Insurance (EI) benefits","Aggregate income","2021 constant dollars","millions",306
"12",1998,"Alberta","Employment Insurance (EI) benefits","Average income (excluding zeros)","2021 constant dollars","units",5833.33333333333
"13",1998,"Alberta","Employment Insurance (EI) benefits","Median income (excluding zeros)","2021 constant dollars","units",4595.55555555556
"14",1998,"Alberta","Employment Insurance (EI) benefits","Number of persons","Number","thousands",476.5
"15",1998,"Alberta","Employment Insurance (EI) benefits","Number with income","Number","thousands",52.1666666666667
"16",1998,"Alberta","Employment income","Aggregate income","2021 constant dollars","millions",18765.005952381
"17",1998,"Alberta","Employment income","Average income (excluding zeros)","2021 constant dollars","units",42735.119047619
"18",1998,"Alberta","Employment income","Median income (excluding zeros)","2021 constant dollars","units",35199.4047619048
"19",1998,"Alberta","Employment income","Number of persons","Number","thousands",476.5
"20",1998,"Alberta","Employment income","Number with income","Number","thousands",380.708333333333
"21",1998,"Alberta","Government transfers","Aggregate income","2021 constant dollars","millions",1708.45833333333
"22",1998,"Alberta","Government transfers","Average income (excluding zeros)","2021 constant dollars","units",6254.16666666667
"23",1998,"Alberta","Government transfers","Median income (excluding zeros)","2021 constant dollars","units",4475
"24",1998,"Alberta","Government transfers","Number of persons","Number","thousands",476.5
"25",1998,"Alberta","Government transfers","Number with income","Number","thousands",274.833333333333
"26",1998,"Alberta","Investment income","Aggregate income","2021 constant dollars","millions",779.55873015873
"27",1998,"Alberta","Investment income","Average income (excluding zeros)","2021 constant dollars","units",4484.12698412698
"28",1998,"Alberta","Investment income","Median income (excluding zeros)","2021 constant dollars","units",781.944444444444
"29",1998,"Alberta","Investment income","Number of persons","Number","thousands",476.5
"30",1998,"Alberta","Investment income","Number with income","Number","thousands",151.291666666667
"31",1998,"Alberta","Market income","Aggregate income","2021 constant dollars","millions",20073.6666666667
"32",1998,"Alberta","Market income","Average income (excluding zeros)","2021 constant dollars","units",43316.6666666667
"33",1998,"Alberta","Market income","Median income (excluding zeros)","2021 constant dollars","units",33233.3333333333
"34",1998,"Alberta","Market income","Number of persons","Number","thousands",476.5
"35",1998,"Alberta","Market income","Number with income","Number","thousands",429.041666666667
"36",1998,"Alberta","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Aggregate income","2021 constant dollars","millions",1302.83333333333
"37",1998,"Alberta","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Average income (excluding zeros)","2021 constant dollars","units",8211.11111111111
"38",1998,"Alberta","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Median income (excluding zeros)","2021 constant dollars","units",7055.55555555556
"39",1998,"Alberta","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Number of persons","Number","thousands",476.5
"40",1998,"Alberta","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Number with income","Number","thousands",147.055555555556
"41",1998,"Alberta","Other government transfers","Aggregate income","2021 constant dollars","millions",167.228571428571
"42",1998,"Alberta","Other government transfers","Average income (excluding zeros)","2021 constant dollars","units",842.857142857143
"43",1998,"Alberta","Other government transfers","Median income (excluding zeros)","2021 constant dollars","units",495.833333333333
"44",1998,"Alberta","Other government transfers","Number of persons","Number","thousands",476.5
"45",1998,"Alberta","Other government transfers","Number with income","Number","thousands",173.125
"46",1998,"Alberta","Other income","Aggregate income","2021 constant dollars","millions",568.486111111111
"47",1998,"Alberta","Other income","Average income (excluding zeros)","2021 constant dollars","units",5482.14285714286
"48",1998,"Alberta","Other income","Median income (excluding zeros)","2021 constant dollars","units",1560
"49",1998,"Alberta","Other income","Number of persons","Number","thousands",476.5
"50",1998,"Alberta","Other income","Number with income","Number","thousands",66
"51",1998,"Alberta","Retirement income","Aggregate income","2021 constant dollars","millions",1694.77777777778
"52",1998,"Alberta","Retirement income","Average income (excluding zeros)","2021 constant dollars","units",19777.7777777778
"53",1998,"Alberta","Retirement income","Median income (excluding zeros)","2021 constant dollars","units",14872.2222222222
"54",1998,"Alberta","Retirement income","Number of persons","Number","thousands",476.5
"55",1998,"Alberta","Retirement income","Number with income","Number","thousands",89.4444444444445
"56",1998,"Alberta","Self-employment income","Aggregate income","2021 constant dollars","millions",1469.51666666667
"57",1998,"Alberta","Self-employment income","Average income (excluding zeros)","2021 constant dollars","units",16296.0317460317
"58",1998,"Alberta","Self-employment income","Median income (excluding zeros)","2021 constant dollars","units",8622.77777777778
"59",1998,"Alberta","Self-employment income","Number of persons","Number","thousands",476.5
"60",1998,"Alberta","Self-employment income","Number with income","Number","thousands",69.0416666666667
"61",1998,"Alberta","Social assistance","Aggregate income","2021 constant dollars","millions",332.027777777778
"62",1998,"Alberta","Social assistance","Average income (excluding zeros)","2021 constant dollars","units",6300.63492063492
"63",1998,"Alberta","Social assistance","Median income (excluding zeros)","2021 constant dollars","units",5287.22222222222
"64",1998,"Alberta","Social assistance","Number of persons","Number","thousands",476.5
"65",1998,"Alberta","Social assistance","Number with income","Number","thousands",60.2412698412698
"66",1998,"Alberta","Total income","Aggregate income","2021 constant dollars","millions",21782.25
"67",1998,"Alberta","Total income","Average income (excluding zeros)","2021 constant dollars","units",44804.1666666667
"68",1998,"Alberta","Total income","Median income (excluding zeros)","2021 constant dollars","units",34870.8333333333
"69",1998,"Alberta","Total income","Number of persons","Number","thousands",476.5
"70",1998,"Alberta","Total income","Number with income","Number","thousands",461.958333333333
"71",1998,"Alberta","Wages, salaries and commissions","Aggregate income","2021 constant dollars","millions",18458.7083333333
"72",1998,"Alberta","Wages, salaries and commissions","Average income (excluding zeros)","2021 constant dollars","units",47201.1904761905
"73",1998,"Alberta","Wages, salaries and commissions","Median income (excluding zeros)","2021 constant dollars","units",36952.380952381
"74",1998,"Alberta","Wages, salaries and commissions","Number of persons","Number","thousands",476.5
"75",1998,"Alberta","Wages, salaries and commissions","Number with income","Number","thousands",355.589285714286
"76",1998,"British Columbia","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Aggregate income","2021 constant dollars","millions",1632.13888888889
"77",1998,"British Columbia","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Average income (excluding zeros)","2021 constant dollars","units",8427.77777777778
"78",1998,"British Columbia","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Median income (excluding zeros)","2021 constant dollars","units",8413.88888888889
"79",1998,"British Columbia","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Number of persons","Number","thousands",667.25
"80",1998,"British Columbia","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Number with income","Number","thousands",195.305555555556
"81",1998,"British Columbia","Child benefits","Aggregate income","2021 constant dollars","millions",485.055555555556
"82",1998,"British Columbia","Child benefits","Average income (excluding zeros)","2021 constant dollars","units",3300
"83",1998,"British Columbia","Child benefits","Median income (excluding zeros)","2021 constant dollars","units",2633.33333333333
"84",1998,"British Columbia","Child benefits","Number of persons","Number","thousands",667.25
"85",1998,"British Columbia","Child benefits","Number with income","Number","thousands",141.555555555556
"86",1998,"British Columbia","Employment Insurance (EI) benefits","Aggregate income","2021 constant dollars","millions",668.722222222222
"87",1998,"British Columbia","Employment Insurance (EI) benefits","Average income (excluding zeros)","2021 constant dollars","units",6850
