"","REF_DATE","GEO","Violations","Statistics","VALUE","UOM"
"1",1998,"Newfoundland and Labrador","Total, all violations","Actual incidents",34904,"Number"
"2",1998,"Newfoundland and Labrador","Total, all violations","Rate per 100,000 population",6464.52,"Rate"
"3",1998,"Newfoundland and Labrador","Total, all violations","Percentage contribution to the Crime Severity Index (CSI)",100,"Percent"
"4",1998,"Newfoundland and Labrador","Total, all Criminal Code violations (including traffic)","Actual incidents",33426,"Number"
"5",1998,"Newfoundland and Labrador","Total, all Criminal Code violations (including traffic)","Rate per 100,000 population",6190.78,"Rate"
"6",1998,"Newfoundland and Labrador","Total, all Criminal Code violations (including traffic)","Percentage contribution to the Crime Severity Index (CSI)",98.66,"Percent"
"7",1998,"Newfoundland and Labrador","Total, all Criminal Code violations (excluding traffic)","Actual incidents",31785,"Number"
"8",1998,"Newfoundland and Labrador","Total, all Criminal Code violations (excluding traffic)","Rate per 100,000 population",5886.85,"Rate"
"9",1998,"Newfoundland and Labrador","Total, all Criminal Code violations (excluding traffic)","Percentage contribution to the Crime Severity Index (CSI)",96.76,"Percent"
"10",1998,"Newfoundland and Labrador","Total violent Criminal Code violations","Actual incidents",6974,"Number"
"11",1998,"Newfoundland and Labrador","Total violent Criminal Code violations","Rate per 100,000 population",1291.64,"Rate"
"12",1998,"Newfoundland and Labrador","Total violent Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",21.24,"Percent"
"13",1998,"Newfoundland and Labrador","Total other violations causing death","Actual incidents",2,"Number"
"14",1998,"Newfoundland and Labrador","Total other violations causing death","Rate per 100,000 population",0.37,"Rate"
"15",1998,"Newfoundland and Labrador","Total other violations causing death","Percentage contribution to the Crime Severity Index (CSI)",0.06,"Percent"
"16",1998,"Newfoundland and Labrador","Total sexual violations against children","Actual incidents",0,"Number"
"17",1998,"Newfoundland and Labrador","Total sexual violations against children","Rate per 100,000 population",0,"Rate"
"18",1998,"Newfoundland and Labrador","Total sexual violations against children","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"19",1998,"Newfoundland and Labrador","Total assaults against a peace officer","Actual incidents",57,"Number"
"20",1998,"Newfoundland and Labrador","Total assaults against a peace officer","Rate per 100,000 population",10.56,"Rate"
"21",1998,"Newfoundland and Labrador","Total assaults against a peace officer","Percentage contribution to the Crime Severity Index (CSI)",0.1,"Percent"
"22",1998,"Newfoundland and Labrador","Total other assaults","Actual incidents",113,"Number"
"23",1998,"Newfoundland and Labrador","Total other assaults","Rate per 100,000 population",20.93,"Rate"
"24",1998,"Newfoundland and Labrador","Total other assaults","Percentage contribution to the Crime Severity Index (CSI)",0.58,"Percent"
"25",1998,"Newfoundland and Labrador","Total firearms, use of, discharge, pointing","Actual incidents",9,"Number"
"26",1998,"Newfoundland and Labrador","Total firearms, use of, discharge, pointing","Rate per 100,000 population",1.67,"Rate"
"27",1998,"Newfoundland and Labrador","Total firearms, use of, discharge, pointing","Percentage contribution to the Crime Severity Index (CSI)",0.12,"Percent"
"28",1998,"Newfoundland and Labrador","Total robbery","Actual incidents",80,"Number"
"29",1998,"Newfoundland and Labrador","Total robbery","Rate per 100,000 population",14.82,"Rate"
"30",1998,"Newfoundland and Labrador","Total robbery","Percentage contribution to the Crime Severity Index (CSI)",2.03,"Percent"
"31",1998,"Newfoundland and Labrador","Total forcible confinement or kidnapping","Actual incidents",10,"Number"
"32",1998,"Newfoundland and Labrador","Total forcible confinement or kidnapping","Rate per 100,000 population",1.85,"Rate"
"33",1998,"Newfoundland and Labrador","Total forcible confinement or kidnapping","Percentage contribution to the Crime Severity Index (CSI)",0.21,"Percent"
"34",1998,"Newfoundland and Labrador","Total abduction","Actual incidents",18,"Number"
"35",1998,"Newfoundland and Labrador","Total abduction","Rate per 100,000 population",3.33,"Rate"
"36",1998,"Newfoundland and Labrador","Total abduction","Percentage contribution to the Crime Severity Index (CSI)",0.08,"Percent"
"37",1998,"Newfoundland and Labrador","Total offences in relation to sexual services","Actual incidents",NA,"Number"
"38",1998,"Newfoundland and Labrador","Total offences in relation to sexual services","Rate per 100,000 population",NA,"Rate"
"39",1998,"Newfoundland and Labrador","Total offences in relation to sexual services","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"40",1998,"Newfoundland and Labrador","Total other violent violations","Actual incidents",56,"Number"
"41",1998,"Newfoundland and Labrador","Total other violent violations","Rate per 100,000 population",10.37,"Rate"
"42",1998,"Newfoundland and Labrador","Total other violent violations","Percentage contribution to the Crime Severity Index (CSI)",0.71,"Percent"
"43",1998,"Newfoundland and Labrador","Total property crime violations","Actual incidents",19370,"Number"
"44",1998,"Newfoundland and Labrador","Total property crime violations","Rate per 100,000 population",3587.49,"Rate"
"45",1998,"Newfoundland and Labrador","Total property crime violations","Percentage contribution to the Crime Severity Index (CSI)",67.52,"Percent"
"46",1998,"Newfoundland and Labrador","Total breaking and entering","Actual incidents",4479,"Number"
"47",1998,"Newfoundland and Labrador","Total breaking and entering","Rate per 100,000 population",829.55,"Rate"
"48",1998,"Newfoundland and Labrador","Total breaking and entering","Percentage contribution to the Crime Severity Index (CSI)",36.47,"Percent"
"49",1998,"Newfoundland and Labrador","Total possession of stolen property","Actual incidents",191,"Number"
"50",1998,"Newfoundland and Labrador","Total possession of stolen property","Rate per 100,000 population",35.37,"Rate"
